Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
内容量（[Unit]）<BR>[Number]<<BR>>成分含量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]含有<<BR>>[ActIngreName]濃度（ｍｇ／[Unit]）<BR>[Number]<<BR>>[Number][Unit]中の[ActIngreName]含有量（[Unit]）<BR>[Number],34,42,2,4,Cluster  4
内容量（[Unit]）<BR>[Number]<<BR>>成分含量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）含有,34,42,1,4,Cluster  4
内容量（ｍＬ／[Unit]）<BR>[Number]<<BR>>有効成分名<BR>[ActIngreName]<<BR>>含量（ｇ／[Unit]）<BR>[Number]<<BR>>[ActIngreName]含量（ｍｇ／[Unit]）<BR>[Number]<<BR>>[ActIngreName]含量（ｇ／[Unit]）<BR>[Number],34,42,8,4,Cluster  4
別名<BR>[ActIngreName][ActIngreName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有,17,38,2,4,Cluster  4
別名<BR>[ActIngreName][Form]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有,17,38,1,4,Cluster  4
別名<BR>[ActIngreOtherName]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit]含有,17,38,1,4,Cluster  4
含有量<BR>[Number][Unit]<<BR>>有効成分<BR>[ActIngreName]（[ActIngreName]として）[Number][Unit]（[Number][Unit]）,35,44,2,4,Cluster  4
品名<BR>[BrandName]<<BR>>成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有,17,38,1,4,Cluster  4
品名<BR>[BrandName]<<BR>>成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有,17,38,1,4,Cluster  4
品名<BR>[BrandName]<<BR>>成分含量<BR>[Number][Unit]中[ActIngreName]を[Number][Unit]含有,17,38,6,4,Cluster  4
商品名<BR>[BrandName]<<BR>>有効成分（[Number][Unit]）中<BR>[ActIngreName][Number][Unit],29,28,1,4,Cluster  4
容量<BR>[Number][Unit]<<BR>>成分<BR>[BrandName]は[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,58,41,1,4,Cluster  4
容量<BR>[Number][Unit][Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,17,38,3,4,Cluster  4
容量<BR>[Number][Unit][Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]（[ActIngreShortName]）として[Number][Unit]）を含有する,17,38,1,4,Cluster  4
容量<BR>[Number][Unit][Number][Unit]<<BR>>成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreShortName]として[Number][Unit]）を含有する,17,38,2,4,Cluster  4
容量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>成分含量<BR>（[Number][Unit]中）[ActIngreName][Number][Unit]含有（[Number][Unit]中）[ActIngreName][Number][Unit]含有,17,38,1,4,Cluster  4
性状<BR>[Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,4,40,1,4,Cluster  4
成人[Number][Unit]（[Number][Unit]）中に次の成分を含有<<BR>>有効成分<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit][ActIngreName]（[ActIngreName]）[Form][Number][Unit],35,44,1,4,Cluster  4
成分<BR>[ActIngreName]<<BR>>含有量（[ActIngreName]として）<BR>[Number][Unit]中：[Number][Unit][Number][Unit]中：[Number][Unit],35,44,2,4,Cluster  4
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]中[Number][Unit]<<BR>>[Fomula]含有量<BR>[ActIngreName][Number][Unit]中[Fomula][Number][Unit]（[Number][Unit]）を含有する,17,38,1,4,Cluster  4
成分<BR>[ActIngreName]<<BR>>含量<BR>[Number][Unit]（[Number][Unit]）中[Number][Unit]（[ActIngreName]として[Number][Unit]）<<BR>>[Fomula]含有量：<BR>[Number][Unit]中[Fomula][Number][Unit]（[Number][Unit]）を含有する,17,38,3,4,Cluster  4
成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>[Fomula]含有量<BR>[ActIngreName][Number][Unit]中[Fomula][Number][Unit]（[Number][Unit]）を含有する,17,38,7,4,Cluster  4
成分<BR>[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,58,41,2,4,Cluster  4
成分分量<BR>[Number][Unit][Number][Unit]×[Number][Unit]（[DrugParts][Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,91,39,2,4,Cluster  4
成分名有効成分<BR>[ActIngreName]<<BR>>[Number][Unit]中の含有量<BR>[Number][Unit],35,44,1,4,Cluster  4
成分含有<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有,17,38,1,4,Cluster  4
成分含有量<BR>[ActIngreName][Number][Unit],35,44,4,4,Cluster  4
成分含有量<BR>[Number][Unit]中[ActIngreName][Number][Unit],35,44,1,4,Cluster  4
成分含有量<BR>[Number][Unit]中[ActIngreName]として[Number][Unit],35,44,1,4,Cluster  4
成分含有量（[Number][Unit][Number][Unit]中）<BR>[ActIngreName][Number][Unit],35,44,1,4,Cluster  4
成分含有量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit],35,44,1,4,Cluster  4
成分含有量（[Number][Unit]中）有効成分<BR>[ActIngreName][Number][Unit],35,44,1,4,Cluster  4
成分含有量（[Number][Unit]中）有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,35,44,4,4,Cluster  4
成分含有量（[Number][Unit]中）：有効成分<BR>[ActIngreName][Number][Unit],35,44,3,4,Cluster  4
成分含有量（[Number][Unit]（[Number][Unit]）中）有効成分<BR>[ActIngreName][Number][Unit],35,44,2,4,Cluster  4
成分含有量（[Number][Unit]（[Number][Unit]）中）有効成分<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],35,44,1,4,Cluster  4
成分含有量：有効成分<BR>[ActIngreName]：[Number][Unit]（[Number][Unit]）中[Number][Unit],35,44,2,4,Cluster  4
成分含有量：有効成分：[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName]（[ActIngreName]として）[Number][Unit]（[Number][Unit]）,35,44,2,4,Cluster  4
成分含有量：有効成分：[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName]：[Number][Unit],35,44,3,4,Cluster  4
成分含量<BR>[ActIngreName]を[Number][Unit]含有,17,38,3,4,Cluster  4
成分含量<BR>[DrugParts][Number][Unit]中[ActIngreName][Number][Unit]含有,91,39,2,4,Cluster  4
成分含量<BR>[DrugParts][Number][Unit]（[Number][Unit][Number]）中：[ActIngreName][Number][Unit]及び[ActIngreName][Number][Unit]を含有する,91,39,1,4,Cluster  4
成分含量<BR>[DrugParts][Number][Unit]（[Number][Unit][Number]）中：[ActIngreName][Number][Unit]及び[ActIngreName][Number][Unit]含有,91,39,2,4,Cluster  4
成分含量<BR>[DrugParts][Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,91,39,2,4,Cluster  4
成分含量<BR>[Number][Unit][Number][Unit]×[Number][Unit]（[DrugParts][Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,91,39,6,4,Cluster  4
成分含量<BR>[Number][Unit][Number][Unit]×[Number][Unit]（[DrugParts][Number][Unit]）中：[ActIngreName][Number][Unit]含有,91,39,2,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][ActIngreName]（[Number]：[Number]）[Number][Unit]含有,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]含有,17,38,2,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]含有,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）含有,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有,17,38,84,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有する,17,38,6,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]及び[ActIngreName][Number][Unit]を含有する,17,38,2,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]及び[ActIngreName][Number][Unit]含有,17,38,3,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]及び[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有,17,38,197,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有（[ActIngreName]として[Number][Unit]）,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有（[Number][Unit]ｗ／ｗ[Form]）,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有（総[ActIngreName]として[Number][Unit]を含む）,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有,17,38,14,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,17,38,2,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）含有,17,38,23,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）含有（[Number][Unit]）,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[Number][Unit]）含有,17,38,4,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName]として[Number][Unit]含有,17,38,4,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName]を[ActIngreName]として[Number][Unit]含有,17,38,5,4,Cluster  4
成分含量<BR>[Number][Unit]中[ActIngreName]（センナ配糖体の[ActIngreName]）を[ActIngreName]として[Number][Unit]含有する,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有,17,38,2,4,Cluster  4
成分含量<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,17,38,19,4,Cluster  4
成分含量<BR>[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中に[ActIngreName]として[Number][Unit]を含有する,17,38,3,4,Cluster  4
成分含量<BR>[Number][Unit]中に[ActIngreName]を[ActIngreName]として[Number][Unit]含有する,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中に[ActIngreName]を[ActIngreName]として[Number][Unit]含有する<<BR>>[ActIngreName]として乳蛋白を含む,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中に[ActIngreName]を[Number][Unit]（[ActIngreName]として[Number][Unit]）含有する,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中（乾燥重量として）[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中：[ActIngreName][Number][Unit]含有,17,38,3,4,Cluster  4
成分含量<BR>[Number][Unit]中：[ActIngreName][Number][Unit]（[ActIngreName]は[ActIngreName]（[Fomula]）[Number][Unit]以上を含有する）,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]中：[ActIngreName][Number][Unit]（[Number][Unit]）含有,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]（[DrugParts][Number][Unit]）中：[ActIngreName][Number][Unit]を含有,91,39,1,4,Cluster  4
成分含量<BR>[Number][Unit]（[DrugParts][Number][Unit]）中：[ActIngreName][Number][Unit]含有,91,39,4,4,Cluster  4
成分含量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]及び[ActIngreName][Number][Unit]含有,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]含有,17,38,7,4,Cluster  4
成分含量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,17,38,4,4,Cluster  4
成分含量<BR>[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]を含有,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]含有,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]（[Number][Unit]）中（乾燥重量として）[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有,17,38,1,4,Cluster  4
成分含量<BR>[Number][Unit]（薬物放出有効面積：[Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,17,38,4,4,Cluster  4
成分含量<BR>（[Number][Unit]中）[ActIngreName][Number][Unit]含有,17,38,1,4,Cluster  4
成分含量[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]含有）[ActIngreName][Number][Unit],17,38,1,4,Cluster  4
成分含量[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit]（[ActIngreName]約[Number][Unit]含有）[ActIngreName][Number][Unit],17,38,1,4,Cluster  4
成分含量（[Number][Unit][Number][Unit]中）<BR>[ActIngreName][Number][Unit]を含有する,17,38,1,4,Cluster  4
成分含量（[Number][Unit][Number][Unit]中）<BR>（[ActIngreName][Number][Unit]中に）[ActIngreName]として[Number][Unit]含有,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][ActIngreName][Number][Unit]を含有する,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][ActIngreName][Number][Unit]含有,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,17,38,2,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]〔[Number][Unit]中[ActIngreName]菌（[ActIngreOtherName]）を[Number][Unit]〕含有,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]を[ActIngreName]として含有する,17,38,3,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]を含有,17,38,2,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]を含有〔[ActIngreName]（[Fomula]：[Number]）[Number][Unit]を含む〕,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]を含有する,17,38,19,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有,17,38,102,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有〔[ActIngreName][ActIngreName][Number]および[ActIngreName][Number]の重量の割合からなる〕,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有（[ActIngreName]として[Number][Unit]）,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]相当量の[ActIngreName]を含有する,17,38,4,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]含有）[ActIngreName][Number][Unit],17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,17,38,3,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）含有,17,38,4,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]として）を含有する,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]約[Number][Unit]含有）,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]（[ActIngreShortName]）として[Number][Unit]）[ActIngreName][Number][Unit]を含有する,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreName]（[ActIngreShortName]）として[Number][Unit]）を含有する,17,38,2,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[ActIngreShortName]として[Number][Unit]）を含有する,17,38,2,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（[Number][Unit]）を[ActIngreName]として含有する,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]（総生菌数として[Number][Unit]）を含有する,17,38,2,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName]として[Number][Unit]を含有する,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]として）[Number][Unit][ActIngreName][Number][Unit]を含有する,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]として）[Number][Unit]（[Number][Unit]）含有,17,38,4,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]）[Number][Unit]を含有する,17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName]（[ActIngreOtherName][Form][ActIngreOtherName][Form]）[Number][Unit]及び[ActIngreName]（[ActIngreOtherName][Form]）[Number][Unit]（総生菌数として[Number][Unit]）を含有する,78,37,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit][ActIngreName]：約[Number][Unit][ActIngreName]：約[Number][Unit][ActIngreName]：約[Number][Unit][ActIngreName]：約[Number][Unit]を含有[ActIngreName]：[Number][Unit],17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit]含有,17,38,5,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[ActIngreName]：[Number][Unit]（[ActIngreName]約[Number][Unit]含有）[ActIngreName]：[Number][Unit],17,38,1,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[Number][Unit]×[Number][Unit]（[DrugParts][Number][Unit]）中に[ActIngreName][Number][Unit]を含有,91,39,2,4,Cluster  4
成分含量（[Number][Unit]中）<BR>[Number][Unit]×[Number][Unit]（[DrugParts][Number][Unit]）中に[ActIngreName][Number][Unit]含有,91,39,4,4,Cluster  4
成分含量：<BR>[BrandName][Number][Unit]中[ActIngreName][Number][Unit]（[Number][Unit]中[ActIngreName]菌（[ActIngreOtherName]）の生菌を[Number][Unit]含む）含有する,78,37,1,4,Cluster  4
成分含量：<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有,17,38,1,4,Cluster  4
成分含量：<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,17,38,2,4,Cluster  4
成分有効成分含有量<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,35,44,2,4,Cluster  4
成分有効成分含有量<BR>[ActIngreName][Number][Unit]（[Number][Unit]分包中）（[ActIngreName]として[Number][Unit]）,35,44,1,4,Cluster  4
成分（[BrandName]）<BR>[ActIngreName]<<BR>>含量（[BrandName]）<BR>[Number][Unit]中[Number][Unit]<<BR>>[Fomula]含有量<BR>[ActIngreName][Number][Unit]中[Fomula][Number][Unit]（[Number][Unit]）を含有する,17,38,1,4,Cluster  4
成分（[Number][Unit]中）有効成分含有量<BR>[ActIngreName][ActIngreName][Number][Unit],35,44,1,4,Cluster  4
成分（[Number][Unit]中）有効成分含有量<BR>[ActIngreName][Number][Unit],35,44,14,4,Cluster  4
成分（[Number][Unit]中）有効成分含有量<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],35,44,3,4,Cluster  4
成分（[Number][Unit]中）有効成分含有量<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,35,44,1,4,Cluster  4
成分（[Number][Unit]中）有効成分含有量<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,35,44,1,4,Cluster  4
成分（[Number][Unit]中）有効成分含有量<BR>[ActIngreName][Number][Unit]中[Number][Unit],35,44,5,4,Cluster  4
成分（[Number][Unit]中）有効成分含有量<BR>[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,35,44,11,4,Cluster  4
成分（[Number][Unit]中）：有効成分含有量<BR>[ActIngreName][Number][Unit],35,44,10,4,Cluster  4
成分（[Number][Unit]中）：有効成分含有量<BR>[ActIngreName]（[ActIngreName]）[Number][Unit],35,44,1,4,Cluster  4
成分（[Number][Unit]中）：有効成分含有量<BR>[ActIngreName]（[Fomula]）[Number][Unit]（[ActIngreName]として[Number][Unit]）,35,44,1,4,Cluster  4
成分：有効成分<BR>[ActIngreName]<<BR>>成分：含有量<BR>[Number][Unit]中[Number][Unit]<<BR>>成分：含有量<BR>[Number][Unit]（[Number][Unit]）中[Number][Unit]<<BR>>成分：含有量<BR>[Number][Unit]（[Number][Unit]）中[Number][Unit]<<BR>>成分：含有量<BR>[Number][Unit]（[Number][Unit]）中[Number][Unit],35,44,1,4,Cluster  4
有効成分<BR>[ActIngreName]<<BR>>[Number][Unit]中の含有量<BR>[Number][Unit],35,44,3,4,Cluster  4
有効成分<BR>[ActIngreName]<<BR>>含有量<BR>[Number][Unit]中[Number][Unit],35,44,1,4,Cluster  4
有効成分<BR>[ActIngreName]<<BR>>含有量（[Number][Unit]中）<BR>[Number][Unit],35,44,4,4,Cluster  4
有効成分<BR>[ActIngreName]<<BR>>含有量（ｍｇ／[Unit]）<BR>[Number]<<BR>>[ActIngreName]含有量（ｍｇ／[Unit]）<BR>[Number]<<BR>>内容量（[Unit]）<BR>[Number]<<BR>>[ActIngreName]含有量（ｇ／[Unit]）<BR>[Number],34,42,5,4,Cluster  4
有効成分<BR>[ActIngreName]<<BR>>含有量（ｍｇ／[Unit]）<BR>[Number]<<BR>>[ActIngreName]含有量（ｍｇ／[Unit]）<BR>[Number]<<BR>>内容量（[Unit]）<BR>[Number]<<BR>>[Number][Unit]中の[ActIngreName]含有量（[Unit]）<BR>[Number],34,42,8,4,Cluster  4
有効成分<BR>[ActIngreName]<<BR>>容量<BR>[Number][Unit]中[Number][Unit]<<BR>>有効成分含有量（[Number][Unit]中）<BR>[Number][Unit]<<BR>>有効成分含有量（[Number][Unit]中）<BR>[Number][Unit],35,44,2,4,Cluster  4
有効成分<BR>[ActIngreName][ActIngreName]<<BR>>組成<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する製剤で[ActIngreName]を[Number][Unit]含有する,35,44,1,4,Cluster  4
有効成分<BR>[ActIngreName][Number][Unit]中の含有量：[Number][Unit],35,44,1,4,Cluster  4
有効成分<BR>[ActIngreName][Number][Unit]（[Number][Unit]）中：含有量[Number][Unit][Number][Unit]中：含有量[Number][Unit],35,44,1,4,Cluster  4
有効成分<BR>[BrandName]<<BR>>組成<BR>[ActIngreName]の[Number][Unit][ActIngreName]浸出[Form]であり[ActIngreName][Number][Unit]を含有する,57,32,1,4,Cluster  4
有効成分<BR>[BrandName]<<BR>>組成<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有する[Number][Unit][Form]で[ActIngreName]を[Number][Unit]含有する,57,32,1,4,Cluster  4
有効成分<BR>[BrandName]は[Number][Unit][Number][Unit]中に下記の成分分量を含有する製剤である[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）[ActIngreName][Number][Unit],46,35,2,4,Cluster  4
有効成分<BR>[Number][Unit][Number][Unit]×[Number][Unit]（[DrugParts][Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,35,44,9,4,Cluster  4
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][BrandName][Number][Unit]とビオスリー配合[Form][Number][Unit]がほぼ等しい生菌数となるように調製している,78,37,1,4,Cluster  4
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]ビオスリー配合[Form][Number][Unit]と[BrandName][Number][Unit]がほぼ等しい生菌数となるように調製している,78,37,1,4,Cluster  4
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有,35,44,2,4,Cluster  4
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有する,35,44,21,4,Cluster  4
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有,35,44,2,4,Cluster  4
有効成分<BR>[Number][Unit]中[ActIngreName][Number][Unit]含有[Number][Unit]中[ActIngreName][Number][Unit]含有,35,44,1,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]と[ActIngreName][Number][Unit]を含有する,35,44,1,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有,35,44,10,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,35,44,63,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Form]である,35,44,1,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有,35,44,7,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,35,44,3,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として）を含有,35,44,1,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]（[Number][Unit]）を含有する,35,44,1,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName][Number][Unit]（Ｂｉｆｉｄｏｂａｃｔｅｒｉｕｍの生菌を[Number][Unit]）を含有する,35,44,1,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName]をその[ActIngreName]として[Number][Unit]含有する,35,44,1,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName]（[ActIngreName]）[Number][Unit]を含有する,35,44,1,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName]（別名：[ActIngreName]）[Number][Unit]を含有する,35,44,5,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName]（別名：[ActIngreName]）[Number][Unit]及び[ActIngreName]（別名：[ActIngreName]）[Number][Unit]を含有する,35,44,2,4,Cluster  4
有効成分<BR>[Number][Unit]中に[ActIngreName]（別名：[ActIngreName]）[Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,35,44,1,4,Cluster  4
